Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2025-12-31 12:00:00;2025-12-31 13:00:00;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34032;Leblanc;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;5.7;5.7;µg-m3;;;;A;1;47.082778;2.405333
2025-12-31 12:00:00;2025-12-31 13:00:00;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34038;Verneuil;Rurale nationale;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;6.1;6.1;µg-m3;;;;A;1;46.814694;2.610069
2025-12-31 12:00:00;2025-12-31 13:00:00;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34041;Fulbert;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;15.1;15.1;µg-m3;;;;A;1;48.444417;1.510139
2025-12-31 12:00:00;2025-12-31 13:00:00;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34046;Dreux Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;14.1;14.125;µg-m3;;;;A;1;48.729694;1.358472
2025-12-31 12:00:00;2025-12-31 13:00:00;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34048;Chartres_trafic;Urbaine;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;7.9;7.9;µg-m3;;;;A;1;48.449158;1.492469
2025-12-31 12:00:00;2025-12-31 13:00:00;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34051;Chateauroux Sud;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;5.2;5.2;µg-m3;;;;A;1;46.798278;1.693139
2025-12-31 12:00:00;2025-12-31 13:00:00;LIG'AIR;FR24ZAR02;ZAR BLOIS;FR34061;Blois nord;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;13.6;13.625;µg-m3;;;;A;1;47.594256;1.302667
2025-12-31 12:00:00;2025-12-31 13:00:00;LIG'AIR;FR24ZAR02;ZAR BLOIS;FR34063;Blois_trafic;Urbaine;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;7.2;7.225;µg-m3;;;;A;1;47.586544;1.326533
2025-12-31 12:00:00;2025-12-31 13:00:00;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34064;Montargis_trafic;Urbaine;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;7.9;7.9;µg-m3;;;;A;1;48.006936;2.740111
2025-12-31 12:00:00;2025-12-31 13:00:00;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34066;Montargis Les Cites;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;9;9;µg-m3;;;;A;1;48.00145;2.72618
2025-12-31 12:00:00;2025-12-31 13:00:00;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34067;St Jean de la Ruelle;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;10.5;10.475;µg-m3;;;;A;1;47.910303;1.873431
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO NOUVELLE-AQUITAINE;FR75ZAR01;ZAR LIMOGES;FR35007;PALAIS S/ V.- Garros;Périurbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;8.9;8.9;µg-m3;;;;A;1;45.873311;1.307916
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO NOUVELLE-AQUITAINE;FR75ZAR01;ZAR LIMOGES;FR35027;LIMOGES - BERLAND;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;3.4;3.425;µg-m3;;;;A;1;45.842204;1.259689
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAR02;ZAR VALLEE-DU-RHONE;FR36002;Valence Urb. Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;9;9.025;µg-m3;;;;A;1;44.933514;4.893481
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAR02;ZAR VALLEE-DU-RHONE;FR36019;Romans-sur-Isère;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;13.1;13.05;µg-m3;;;;A;1;45.0425;5.0443
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZRE02;ZR AUVERGNE-RHONE-ALPES;FR36021;Drôme Rurale Sud-SND;Rurale nationale;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;13.6;13.6;µg-m3;;;;A;1;44.569443;5.278972
